REPOSITORY                                           TAG                 IMAGE ID            CREATED             SIZE
igefimov/ubuntu-tmp-file                             latest              818e0193a19a        5 seconds ago       120MB
efimovi/ubuntu-tmp-file                              latest              0a10a5a2a3de        2 minutes ago       120MB
nginx                                                latest              e445ab08b2be        8 days ago          126MB
ubuntu                                               16.04               5e13f8dd4c1a        9 days ago          120MB
js-com-dev.dock.merck.com/easysdlc-community-tools   build-12            cce2523c68d4        4 months ago        227MB
igorsdocker/mybot                                    latest              ee5e6b08a525        5 months ago        699MB
debian                                               latest              d508d16c64cd        5 months ago        101MB
127.0.0.1:5000/myuser/jenkins-class                  latest              442eae197d74        6 months ago        1.3GB
postgres                                             11.1                4dcf1ba7e5e2        6 months ago        312MB
registry                                             2.6.2               0637679dad1a        6 months ago        28.5MB
hello-world                                          latest              fce289e99eb9        7 months ago        1.84kB
debian                                               <none>              de8b49d4b0b3        7 months ago        101MB
jenkinsci/jenkins                                    2.150.1             5907903170ad        7 months ago        701MB
gogs/gogs                                            0.11.66             54a063c8920b        10 months ago       91.8MB
spkane/train-os                                      latest              6a51172f7fc6        16 months ago       275MB
spkane/starwars                                      latest              5b5c2ca94da2        20 months ago       243MB
jenkinsci/jenkins                                    2.90                6716f4f7b062        20 months ago       813MB
node                                                 6.11.3              8095ae5163c9        22 months ago       661MB
postgres                                             9.6.3               33b13ed6b80a        2 years ago         269MB
registry                                             2.6.1               c2a449c9f834        2 years ago         33.2MB
gogs/gogs                                            0.11.19             bac6ce22648f        2 years ago         128MB
redis                                                3.2.5               5f515359c7f8        2 years ago         183MB
fedora                                               22                  01a9fe974dba        2 years ago         189MB
adejonge/helloworld                                  latest              4fa84a96f0d6        5 years ago         3.6MB
